City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,ossora,59.2353,163.0719,-6.919999999999959,96,100,1.77,RU,1678373997
123,mitsamiouli,-11.3847,43.2844,28.32000000000005,75,81,4.49,KM,1678374232
124,marawi,7.9986,124.2928,19.870000000000005,97,51,0.93,PH,1678374232
125,lac du bonnet,50.2536,-96.0612,-8.549999999999955,89,93,2.53,CA,1678374232
126,aktau,43.65,51.2,11.32000000000005,91,100,2.33,KZ,1678374232
127,bredasdorp,-34.5322,20.0403,19.510000000000048,68,83,4.51,ZA,1678373980
128,herzogenaurach,49.568,10.8857,12.140000000000043,75,75,8.75,DE,1678374067
129,cidreira,-30.1811,-50.2056,29.640000000000043,58,31,2.91,BR,1678374018
130,henties bay,-22.116,14.2845,20.25,71,2,7.27,NA,1678374080
131,aklavik,68.2191,-135.0107,-11.269999999999982,89,100,11.91,CA,1678374233
132,upernavik,72.7868,-56.1549,-20.389999999999986,90,27,0.49,GL,1678373968
133,kapaa,22.0752,-159.319,17.879999999999995,69,15,0.45,US,1678373972
134,sretensk,52.2453,117.7093,-9.569999999999993,99,100,0.99,RU,1678374234
135,kalmunai,7.4167,81.8167,25.57000000000005,84,68,4.63,LK,1678374234
136,derzhavinsk,51.1,66.3167,-10.75,87,81,3.16,KZ,1678374234
137,saldanha,-33.0117,17.9442,18.450000000000045,79,83,1.87,ZA,1678373988
138,sattahip,12.6664,100.9007,27.77000000000004,83,1,1.54,TH,1678374235
139,ponta delgada,37.7333,-25.6667,17.400000000000034,94,75,6.17,PT,1678374085
140,castro,-24.7911,-50.0119,24.200000000000045,69,80,2.21,BR,1678373998
141,honningsvag,70.9821,25.9704,-6.139999999999986,63,100,3.6,NO,1678374098
142,skara,58.3866,13.4384,-3.42999999999995,93,100,2.24,SE,1678374236
143,cheremukhovo,60.3484,59.9851,-0.4399999999999977,94,100,4.63,RU,1678374236
144,chapleau,47.8405,-83.4034,-9.859999999999957,82,75,3.15,CA,1678374236
145,saint-joseph,-21.3667,55.6167,25.82000000000005,89,93,5.18,RE,1678374020
146,atambua,-9.1061,124.8925,23.58000000000004,91,99,0.52,ID,1678374236
147,tarakan,3.3,117.6333,26.939999999999998,81,8,4.49,ID,1678374237
148,makakilo city,21.3469,-158.0858,20.870000000000005,69,79,8.07,US,1678373982
149,dingle,10.9995,122.6711,23.79000000000002,81,0,2.95,PH,1678374081
150,pangnirtung,66.1451,-65.7125,-13.0,92,20,0.0,CA,1678373999
151,bari sadri,24.4167,74.4667,23.430000000000007,24,1,3.65,IN,1678374238
152,dunedin,-45.8742,170.5036,12.230000000000018,88,41,1.93,NZ,1678373963
153,saint-pierre,-21.3393,55.4781,26.620000000000005,89,100,8.23,RE,1678374037
154,yanam,16.7333,82.2167,24.379999999999995,73,100,1.43,IN,1678374071
155,hilo,19.7297,-155.09,22.930000000000007,92,3,0.45,US,1678373957
156,salalah,17.0151,54.0924,25.340000000000032,65,0,2.33,OM,1678374021
157,kavieng,-2.5744,150.7967,27.260000000000048,75,100,1.27,PG,1678373963
158,moyale,3.5167,39.0584,31.189999999999998,24,94,5.29,KE,1678374239
159,nuqui,5.7125,-77.2708,25.230000000000018,86,99,1.02,CO,1678374239
160,ternate,0.8,127.4,26.83000000000004,82,1,3.16,ID,1678374094
161,bairiki,1.3292,172.9752,27.0,83,75,1.03,KI,1678374240
162,avarua,-21.2078,-159.775,24.03000000000003,100,100,2.06,CK,1678373979
163,novaya zaimka,56.4857,66.9241,-1.42999999999995,96,100,8.7,RU,1678374240
164,iwanai,42.9744,140.5089,2.390000000000043,92,100,4.91,JP,1678374240
165,mahon,39.8885,4.2658,17.310000000000002,77,0,2.57,ES,1678374011
166,egvekinot,66.3167,-179.1667,-14.379999999999995,95,100,1.36,RU,1678373992
167,cherskiy,68.75,161.3,-23.649999999999977,91,100,2.1,RU,1678373984
168,tuy hoa,13.0833,109.3,22.010000000000048,83,67,4.14,VN,1678374241
169,poum,-20.2333,164.0167,26.32000000000005,74,5,5.34,NC,1678373978
170,bambous virieux,-20.3428,57.7575,27.340000000000032,100,75,5.14,MU,1678373981
171,sinnamary,5.3833,-52.95,27.28000000000003,67,92,3.72,GF,1678373986
172,hasaki,35.7333,140.8333,15.220000000000027,75,85,9.38,JP,1678374076
173,husavik,66.0449,-17.3389,-3.7899999999999636,92,100,12.23,IS,1678374181
174,aljezur,37.3191,-8.8033,18.660000000000025,79,20,5.43,PT,1678374001
175,talara,-4.5772,-81.2719,25.420000000000016,100,100,4.12,PE,1678374242
176,kazerun,29.6195,51.6541,20.720000000000027,48,100,1.13,IR,1678374243
177,mlyniv,50.509,25.6168,1.6299999999999955,97,100,2.22,UA,1678374243
178,narsaq,60.9167,-46.05,0.12000000000000455,62,100,2.83,GL,1678374060
179,provideniya,64.3833,-173.3,-15.989999999999952,73,10,1.22,RU,1678373958
180,butembo,0.15,29.2833,16.82000000000005,95,67,0.51,CD,1678374244
181,ati,13.2154,18.3353,39.09000000000003,8,80,4.45,TD,1678374244
182,casper,42.8666,-106.3131,-6.669999999999959,73,0,7.72,US,1678374245
183,leo,11.1,-2.1,39.82000000000005,6,16,1.02,BF,1678374245
184,srednekolymsk,67.45,153.6833,-32.79999999999998,99,100,0.48,RU,1678374245
185,lebu,-37.6167,-73.65,15.57000000000005,87,100,2.67,CL,1678373979
